line	fine_domain	super_domain	contested_claim	proposed_consensual	why_uncontested
34	economics	econ_policy	High public debt causally slows long-run GDP growth.	High public debt causally elevates debt-service costs over the long run.	[auto-sélection proposition_2.txt, score 7.40]
35	energy	physical_climate	Low-dose ionizing radiation risk rises linearly to zero dose.	High-dose ionizing radiation heightens measured cancer risk in exposed populations.	High-dose risk is undisputed; extrapolation to low dose is the dispute. [passe-legere: tic incident corrige]
36	nutrition	medicine_health	Dietary saturated fat constitutes a principal cause of cardiovascular disease.	Dietary saturated fat elevates average blood LDL cholesterol levels.	[auto-sélection proposition_2.txt, score 2.85] [passe-legere: tic incident corrige]
37	neuroscience	life_sciences	Conscious perception depends on posterior cortical activity rather than prefrontal broadcasting.	Conscious visual perception depends on cortical activity rather than retinal signalling alone.	Cortical necessity is undisputed; which cortical region suffices is the dispute.
38	physics	physical_climate	String theory qualifies as science rather than untestable mathematics.	String theory requires more spatial dimensions than the three we observe.	Property of the formalism; the dispute is its scientific status.
39	cosmology	physical_climate	Cosmic inflation best explains the universe's large-scale uniformity.	The cosmic microwave background displays large-scale temperature uniformity across the sky.	Observation; the dispute is which mechanism explains it.
40	biology	life_sciences	A fixed biological upper limit bounds the human lifespan.	Documented human lifespan tops out near one hundred twenty years.	The observed maximum is undisputed; whether a hard biological limit causes it is the dispute.
41	psychology	mind_language_society	Low replication rates in psychology mainly reflect false original findings.	Replication attempts in psychology mainly report effects of reduced magnitude.	The effect-size shrinkage is the observed datum; its interpretation is the dispute.
42	physics	physical_climate	Undiscovered particles explain dark matter rather than modified gravity.	Galaxy rotation curves stay flatter than visible mass alone would predict.	The observation is undisputed; its explanation is the dispute.
43	behavioral_genetics	life_sciences	Genetic differences explain most adult variation in measured intelligence.	Genetic differences explain most adult variation in measured human height.	Height heritability in adults is undisputed; intelligence heritability is the live dispute.
44	epidemiology	medicine_health	Moderate alcohol consumption provides no health benefit at any dose.	Moderate alcohol consumption produces measurable blood alcohol concentrations.	[auto-sélection proposition_2.txt, score 2.70]
45	microbiome	life_sciences	The gut microbiome causally shapes human mood and behavior.	The gut microbiome breaks down dietary fibers the human gut cannot digest.	Established metabolic function; the dispute is the behavioral effect.
46	astrobiology	physical_climate	The absence of alien signals indicates rarity of intelligent life.	No confirmed alien signals from intelligent life have been detected.	[auto-sélection proposition_3.txt, score 4.00]
47	physics	physical_climate	Quantum mechanics requires abandoning the idea of a single definite outcome.	Quantum mechanics calculates the exact mathematical probability of observing a single definite outcome.	[auto-sélection proposition_1.txt, score 4.70]
48	epidemiology	medicine_health	Observational nutrition studies reliably identify causal effects of individual foods.	Observational nutrition studies identify statistical associations between foods and outcomes.	[auto-sélection proposition_2.txt, score 5.00]
49	physics	physical_climate	The fine-structure constant has varied over cosmic history.	The fine-structure constant equals approximately one over 137 in laboratory measurements.	[auto-sélection proposition_2.txt, score 2.55]
50	physics	physical_climate	Black holes preserve swallowed information rather than destroy it.	Black holes emit Hawking radiation rather than remaining thermally inert.	[auto-sélection proposition_2.txt, score 3.70]
51	cosmology	physical_climate	The Hubble tension reflects new physics rather than measurement error.	The Hubble tension involves differing cosmic expansion measurements rather than perfectly matching empirical data.	[auto-sélection proposition_1.txt, score 3.40]
52	physics	physical_climate	Spin fluctuations provide the primary pairing mechanism in cuprate superconductors.	Cuprate superconductors show spin fluctuations near their critical temperature.	[auto-sélection proposition_opus_gaps.txt, score 3.85]
53	genomics	life_sciences	Most human non-coding DNA serves functions rather than remaining evolutionary residue.	Most human non-coding DNA undergoes transcription rather than remaining silent.	[auto-sélection proposition_2.txt, score 7.00]
54	genetics	life_sciences	Common genetic variants explain a large share of missing heritability for complex traits.	Common genetic variants explain measurable variation in numerous complex human traits.	[auto-sélection proposition_3.txt, score 7.55]
55	neuroscience	life_sciences	The adult human brain generates new neurons throughout life.	The adult human brain continually reorganizes synaptic connections between existing neurons throughout life.	[auto-sélection proposition_1.txt, score 4.25]
56	evolution	life_sciences	Group selection strongly shapes cooperation among human populations.	Human populations display cooperation inside groups and beyond group boundaries.	[auto-sélection proposition_3.txt, score 3.55] [passe-legere: tic incident corrige]
57	biology	life_sciences	Viruses originated earlier than the last universal common cellular ancestor.	Cellular life existed earlier than the oldest recovered viral genomic sequences.	[auto-sélection proposition_2.txt, score 2.00]
58	linguistics	mind_language_society	A person's language detectably shapes color perception.	Languages divide the colour spectrum into detectably different numbers of basic terms.	Cross-linguistic fact; the dispute is the perceptual consequence.
59	linguistics	mind_language_society	Human grammar rests on an innate faculty rather than general learning.	Human children acquire spoken grammar earlier than they acquire written literacy.	Developmental ordering is undisputed; innateness is the dispute.
60	linguistics	mind_language_society	Neanderthal vocal anatomy supported speech equivalent to modern human speech.	Neanderthal vocal anatomy included a hyoid bone of modern human shape.	[auto-sélection proposition_2.txt, score 4.70]
61	ai_safety	ai_computing	Autoregressive transformers learn causally useful internal world models.	Autoregressive transformers process tokens in causally ordered sequences.	[auto-sélection proposition_2.txt, score 5.00]
62	ai	ai_computing	Text form alone supports linguistic meaning learning independent of sensory grounding.	Text form alone supports next-token prediction without any sensory input.	Engineering fact; whether meaning is learned is the dispute.
63	ai	ai_computing	In-context learning retrieves memorized patterns rather than learning new rules.	In-context learning performs better with more worked examples in the prompt.	Robust empirical regularity; the mechanism is the dispute.
64	psychology	mind_language_society	Heavy online-platform use poses a material risk for adolescent depression.	Heavy online-platform use occupies a material share of adolescent daily hours.	Time-use measurement; the mental-health effect is the dispute.
65	ai	ai_computing	Language-model safety fine-tuning degrades general capability performance.	Language-model safety fine-tuning reduces generation of prohibited content categories.	[auto-sélection proposition_2.txt, score 4.85]
66	ai	ai_computing	Metric choice creates apparent emergent abilities in large language models.	Metric choice affects measured performance scores in large language models.	[auto-sélection proposition_2.txt, score 4.85]
67	ai	ai_computing	Systematic compositional generalization requires explicit symbolic structure.	Classical computing architectures utilize explicit symbolic structure to process discrete mathematical information.	[auto-sélection proposition_1.txt, score 2.55]
68	privacy	ai_computing	Differential privacy preserves useful aggregate statistics under realistic privacy budgets.	Differential privacy adds calibrated mathematical noise to aggregate statistics to protect individual database entries.	[auto-sélection proposition_1.txt, score 3.40]
69	ai	ai_computing	Transformer parameter scaling yields systematic compositional generalization in language models.	Transformer parameter scaling improves next-token prediction accuracy in language models.	[auto-sélection proposition_2.txt, score 5.00]
70	ai	ai_computing	Chain-of-thought prompting performs additional internal computation during generated rationales.	Chain-of-thought prompting generates intermediate reasoning tokens before final answers.	[auto-sélection proposition_2.txt, score 2.85]
71	ai	ai_computing	Retrieval augmentation produces fewer factual errors than equivalent parameter scaling.	Retrieval augmentation accesses external documents more directly than parameter scaling does.	[auto-sélection proposition_2.txt, score 3.70]
72	ai	ai_computing	Model capability still scales predictably with additional training data.	Model capability improves with additional training data in controlled scaling experiments.	[auto-sélection proposition_2.txt, score 4.70]
73	ai	ai_computing	Chain-of-thought traces faithfully reflect a model's actual computation.	Chain-of-thought traces appear as sequential natural-language text before answers.	[auto-sélection proposition_2.txt, score 2.70]
74	ai	ai_computing	Synthetic training data degrades model quality over successive generations.	Synthetic training data consists of examples generated by computational models.	[auto-sélection proposition_3.txt, score 3.00]
75	ai	ai_computing	Mixture-of-experts outperform dense models at equal compute.	Mixture-of-experts activate fewer parameters per token than dense models.	[auto-sélection proposition_opus_gaps.txt, score 3.85]
76	ai	ai_computing	Language-model safety alignment suppresses outputs rather than removing harmful capabilities.	Language-model safety alignment alters token probabilities rather than changing architecture.	[auto-sélection proposition_2.txt, score 5.85]
77	economics	econ_policy	Carbon taxes outperform permit trading at cutting emissions.	Carbon taxes set emissions prices more directly than permit trading systems do.	[auto-sélection proposition_3.txt, score 4.55]
78	economics	econ_policy	National carbon pricing lowered emissions while preserving GDP growth.	National carbon pricing attaches mandatory financial costs to industrial greenhouse gas emissions.	[auto-sélection proposition_1.txt, score 3.55]
79	energy	physical_climate	Retiring existing nuclear plants elevates power-sector carbon emissions.	Retiring existing nuclear plants removes operating low-carbon electricity generation capacity.	[auto-sélection proposition_3.txt, score 4.85]
80	climate	physical_climate	Carbon offsets mostly fail to deliver the reductions they promise.	Carbon offsets represent claimed reductions in greenhouse-gas emissions.	[auto-sélection proposition_2.txt, score 3.00]
81	climate	physical_climate	Demand-side measures deliver large emissions cuts alongside preserved human well-being.	Demand-side measures target consumption-related emissions by changing services and technologies.	[auto-sélection proposition_3.txt, score 2.85] [passe-legere: tic incident corrige]
82	agriculture	life_sciences	Herbicide-tolerant crops lessen total pesticide toxicity.	Herbicide-tolerant crops survive herbicide applications at labeled doses.	[auto-sélection proposition_opus_gaps.txt, score 2.55]
83	climate	physical_climate	Climate models underestimate positive cloud feedbacks from changing tropical circulation.	Climate models include cloud responses to changing tropical circulation patterns.	[auto-sélection proposition_2.txt, score 5.85]
84	environment	life_sciences	Chemical recycling of plastic yields net lifecycle environmental benefits.	Chemical recycling of plastic converts waste polymers into molecular feedstocks.	[auto-sélection proposition_2.txt, score 2.70]
85	climate	physical_climate	Observed warming since 1970 implies low equilibrium climate sensitivity.	Observed warming since 1970 is one constraint used in climate sensitivity estimation.	[auto-sélection proposition_3.txt, score 3.55]
86	geoengineering	physical_climate	Ocean iron fertilization would sequester carbon at a meaningful scale.	Ocean iron fertilization triggers algal blooms in iron-poor waters.	[auto-sélection proposition_opus_gaps.txt, score 2.70]
87	conservation	life_sciences	Strict reserves outperform multiple-use reserves at preventing tropical forest fires.	Strict reserves legally prohibit more commercial resource extraction than multiple-use reserves do.	[auto-sélection proposition_1.txt, score 3.85]
88	education	mind_language_society	School grades predict university success better than standardized tests.	School grades cover longer periods of student work than standardized tests.	[auto-sélection proposition_3.txt, score 3.70]
89	education	mind_language_society	Performance-based teacher pay detectably boosts student test scores.	Performance-based teacher pay ties compensation to measured student test outcomes.	[auto-sélection proposition_2.txt, score 5.85]
90	education	mind_language_society	Homework provides little academic benefit to primary school children.	Homework assigns primary school children academic tasks to complete outside class.	[auto-sélection proposition_3.txt, score 4.70]
91	psychology	mind_language_society	Induced teacher expectations affect students' later academic achievement.	Induced teacher expectations change information teachers receive about selected students.	[auto-sélection proposition_3.txt, score 2.85]
92	sociology	mind_language_society	Childhood neighborhoods explain material differences in adult earnings.	Childhood neighborhoods explain differences in local school quality and peer groups.	[auto-sélection proposition_2.txt, score 5.55]
93	education	mind_language_society	Smaller class sizes boost students' long-run academic outcomes.	Smaller class sizes provide more individual teacher attention than larger classes do.	[auto-sélection proposition_2.txt, score 2.85]
94	sociology	mind_language_society	The neighborhood a child grows up in causally affects adult income.	The neighborhood a child grows up in causally shapes available peer networks.	[auto-sélection proposition_2.txt, score 5.85]
95	organizational	mind_language_society	Functionally diverse teams solve complex problems better than homogeneous teams.	Functionally diverse teams include more varied expertise than homogeneous teams do.	[auto-sélection proposition_2.txt, score 3.85]
96	public_health	medicine_health	Portugal's drug decriminalization lowered drug-related mortality.	Portugal's drug decriminalization reclassified personal possession as an administrative offense.	[auto-sélection proposition_2.txt, score 2.55]
97	public_health	medicine_health	Stricter firearm regulation materially lowers homicide rates.	Stricter firearm regulation materially restricts legal purchases of certain firearms.	[auto-sélection proposition_2.txt, score 5.55]
98	criminology	mind_language_society	Body-worn police cameras decrease civilian complaints by changing behavior.	Body-worn police cameras record video of encounters between officers and civilians.	[auto-sélection proposition_2.txt, score 3.70]
99	public_health	medicine_health	Cannabis legalization produces more traffic fatalities than prohibition does.	Cannabis legalization increases legal retail sales more than prohibition does.	[auto-sélection proposition_2.txt, score 3.85]
100	psychology	mind_language_society	Implicit bias tests predict real-world discriminatory behavior.	Implicit bias tests measure response latencies to paired social concepts.	[auto-sélection proposition_2.txt, score 2.70]
101	psychology	mind_language_society	Growth-mindset interventions produce lasting gains in academic achievement.	Growth-mindset interventions present ability as improvable through effort and practice.	[auto-sélection proposition_2.txt, score 2.55]
102	psychology	mind_language_society	Evidence supports a real and replicable ego-depletion effect.	Ego-depletion experiments measure performance after a self-control task.	[auto-sélection proposition_opus_gaps.txt, score 1.70]
103	psychology	mind_language_society	Early bilingualism delays the onset of dementia.	Early bilingualism involves acquiring and using two languages during childhood.	[auto-sélection proposition_3.txt, score 1.55]
104	psychology	mind_language_society	Facial expressions causally influence corresponding emotional experience.	Facial expressions causally engage specific facial muscles during emotional displays.	[auto-sélection proposition_2.txt, score 5.55]
105	psychology	mind_language_society	Grit predicts academic achievement better than conscientiousness and intelligence.	Grit questionnaires resemble conscientiousness scales more closely in format than intelligence tests.	[auto-sélection proposition_3.txt, score 2.40]
106	psychology	mind_language_society	Power poses boost subjective confidence using embodied feedback.	Power poses are expansive bodily postures used in embodied-feedback experiments.	[auto-sélection proposition_3.txt, score 3.10]
107	history	history_archaeology	German expansionism chiefly explains the First World War.	The First World War committed German forces to a prolonged two-front conflict.	The two-front campaign is a settled fact; war-origin attribution is the dispute. [passe-legere: tic incident corrige]
108	history	history_archaeology	The Roman Empire fell chiefly from internal decay.	The Western Roman Empire ended while the Eastern Roman Empire endured.	Chronological fact; the cause of the fall is the dispute.
109	history	history_archaeology	Extractive colonial institutions made former colonies poorer than inclusive colonial institutions did.	Extractive colonial institutions concentrated political power more than inclusive ones did.	[auto-sélection proposition_2.txt, score 4.85]
110	history	history_archaeology	Military necessity justified the atomic bombings of Japan.	United States leaders invoked military necessity when discussing the atomic bombings of Japan.	[auto-sélection proposition_3.txt, score 4.25]
111	history	history_archaeology	Britain's high wages and cheap coal underpinned the Industrial Revolution.	Britain's coal output expanded steadily throughout the Industrial Revolution.	Output series; the causal role of wages and coal is the dispute.
112	history	history_archaeology	Hitler's prior plan explains the Holocaust better than cumulative bureaucratic radicalization.	Nazi bureaucratic radicalization escalated the Holocaust faster after 1941 than before.	[auto-sélection proposition_opus_gaps.txt, score 2.70]
113	history	history_archaeology	Soviet economic weakness chiefly explains the Cold War's end.	Low output growth chiefly explains measured Soviet economic weakness before the Cold War ended.	[auto-sélection proposition_3.txt, score 9.40]
114	history	history_archaeology	Atlantic trade chiefly explains Western Europe's early modern economic rise.	Atlantic trade chiefly explains Atlantic port growth during Western Europe's early modern rise.	[auto-sélection proposition_3.txt, score 12.55]
115	history	history_archaeology	The Black Death chiefly triggered Europe's wage revolution.	The Black Death chiefly reduced Europe's working-age population by widespread mortality.	[auto-sélection proposition_3.txt, score 5.25] [passe-legere: tic incident corrige]
116	archaeology	history_archaeology	Evidence favors the Pacific coastal route more than the inland corridor.	The Pacific coastal route lies farther west than the inland corridor.	[auto-sélection proposition_3.txt, score 5.00]
117	archaeology	history_archaeology	Prolonged drought chiefly drove the Bronze Age collapse.	Prolonged drought chiefly limits water availability for agriculture during the Bronze Age.	[auto-sélection proposition_3.txt, score 6.40]
118	history	history_archaeology	Pre-Columbian America was far more populous than early estimates held.	Pre-Columbian America contained larger urban centers than early colonial estimates reported.	[auto-sélection proposition_2.txt, score 4.85]
119	archaeology	history_archaeology	Higher farm productivity than foraging explains early agriculture's spread.	Higher farm productivity than foraging explains surplus storage in early farming settlements.	[auto-sélection proposition_2.txt, score 7.70]
120	education	mind_language_society	Handwriting instruction improves reading acquisition more than typing does.	Handwriting instruction practices letter formation more than typing does.	[auto-sélection proposition_2.txt, score 4.00]
