line	fine_domain	super_domain	contested_claim	affirmed_by	denied_by	contested_source_urls	contested_rationale	consensual_claim	consensual_source_urls	consensual_rationale	author_provenance
11	political_science	econ_policy	Negative campaign advertising measurably depresses overall voter turnout.	Ansolabehere & Iyengar (demobilization thesis)	Lau et al. meta-analysis; Wattenberg & Brians (no effect)	https://www.journals.uchicago.edu/doi/10.1111/0022-3816.00143	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Universal suffrage extends voting rights to all adult citizens.	https://www.ohchr.org/en/human-rights/universal-declaration/translations/english	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
12	political_science	econ_policy	Term limits shift real legislative power toward unelected staff.	Carey, Niemi & Powell; Mooney (staff/lobby capture)	term-limit advocates (US Term Limits); capture-finding skeptics	https://www.jstor.org/stable/440283	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	A constitution defines the basic legal structure of a state.	https://constitutionnet.org/vl/item/what-constitution-principles-and-concepts	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
13	economics	econ_policy	Foreign aid accelerates GDP growth in poor recipient countries.	Sachs-line; Burnside & Dollar (conditional aid)	Easterly; Boone; Rajan & Subramanian	https://www.nber.org/papers/w11513	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Labor productivity measures the output produced per hour worked.	https://www.oecd.org/en/data/indicators/labour-productivity-and-utilisation.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
14	political_science	econ_policy	Shared interests matter more, outweighing institutional explanations for democratic peace.	realists (Rosato; Mearsheimer; Gartzke capitalist peace)	democratic-peace liberals (Russett; Doyle-line)	https://www.nber.org/papers/w5005|https://academic.oup.com/jpr/article/51/2/159/8365639	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	In political systems, lower legislative chambers usually exceed upper chambers in membership.	https://data.ipu.org/compare-chambers/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
15	political_science	econ_policy	Electoral systems shape the number of parties more than social divisions do.	Duverger-line institutionalists (Cox)	sociological cleavage theory (Lipset & Rokkan)	https://sites.socsci.uci.edu/~bgrofman/42%20Grofman.%20Rethinking%20Duverger%27s%20Law..pdf	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Federal systems distribute political authority to more levels than unitary systems.	https://www.britannica.com/topic/federalism	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
16	political_science	econ_policy	Economic conditions determine incumbent re-election more than campaigns do.	economic-voting models (Fair; Achen & Bartels)	campaign-effects scholars (Vavreck; persuasion researchers)	https://www.cambridge.org/core/journals/british-journal-of-political-science/article/why-are-american-presidential-election-campaign-polls-so-variable-when-votes-are-so-predictable/7936B534442ECC90D60934A450721E8F	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Parliamentary systems tie political survival more directly to legislatures than presidential systems.	https://www.britannica.com/topic/parliamentary-system	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
17	political_science	econ_policy	Online campaign advertising produces detectable persuasion effects on voters.	Spenkuch and Bär-line advertising-effect researchers	Kalla and Broockman minimal-persuasion meta-analysts	https://doi.org/10.1017/S0003055417000363|https://academic.oup.com/pnasnexus/article/4/3/pgaf073/8052909	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Secret ballots keep voters' choices private during elections.	https://www.britannica.com/topic/Australian-ballot	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
18	economics	econ_policy	Unconditional cash transfers depress employment among low-income adults.	labor-supply and negative-income-experiment interpreters	cash-transfer RCT teams reporting null employment effects	https://www.nber.org/papers/w32719	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Modern supply chains directly connect producers and consumers worldwide.	https://www.oecd.org/en/topics/supply-chains.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
19	economics	econ_policy	Minimum-wage hikes materially elevate unemployment among young workers.	Neumark & Wascher	Card & Krueger; Cengiz et al. (bunching estimator)	https://doi.org/10.1093/qje/qjz014|https://www.cbo.gov/publication/55410	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Unemployment usually rises during recessions in modern economies.	https://www.bls.gov/spotlight/2012/recession/pdf/recession_bls_spotlight.pdf	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
20	economics	econ_policy	Housing vouchers raise low-income rents enough to erase aggregate benefits.	Susin-line rent-incidence economists	voucher evaluators finding recipient gains despite rent pass-through	https://www.sciencedirect.com/science/article/abs/pii/S0047272701000810	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Inflation reduces the purchasing power of money held as cash.	https://www.imf.org/en/Publications/fandd/issues/Series/Back-to-Basics/Inflation	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
21	economics	econ_policy	Free trade agreements raise average real wages in wealthy countries.	aggregate-gains and consumer-price trade economists	Autor-Dorn-Hanson localized labor-market harm researchers	https://www.aeaweb.org/articles?id=10.1257/jep.32.2.25|https://www.aeaweb.org/articles?id=10.1257/aer.103.6.2121	Feenstra reviews aggregate productivity and consumer-price gains while Autor, Dorn, and Hanson identify persistent concentrated worker losses.	Trade barriers raise the domestic price of imported goods.	https://openstax.org/books/principles-economics-2e/pages/34-critical-thinking-questions	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
22	economics	econ_policy	Annual wealth taxes prompt migration among wealthy taxpayers.	Jakobsen-line wealth-tax mobility researchers	Saez-Zucman wealth-tax design proponents	https://www.nber.org/papers/w32153	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Progressive income taxes apply rising rates by income bracket.	https://www.irs.gov/filing/federal-income-tax-rates-and-brackets	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
23	economics	econ_policy	Industrial policy outperforms free markets at building strategic industries.	Mazzucato; Rodrik; developmental-state scholars	free-market neoclassical economists	https://doi.org/10.1146/annurev-economics-081023-024638	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Compound interest exceeds simple-interest growth at equal rates.	https://www.investor.gov/financial-tools-calculators/calculators/compound-interest-calculator	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
24	economics	econ_policy	Immigration lowers wages for native workers lacking university degrees.	Borjas	Card; Peri	https://doi.org/10.1162/003355303322552810|https://giovanniperi.ucdavis.edu/uploads/5/6/8/2/56826033/peri_do-immigrant-workers-depress-the-wages-of-native-workers.pdf	Borjas estimates wage losses for competing native workers; Peri reviews substitution and complementarity evidence that challenges that inference.	Central-bank rate hikes restrain rapid price growth.	https://www.federalreserve.gov/monetarypolicy/monetary-policy-what-are-its-goals-how-does-it-work.htm	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
25	economics	econ_policy	Central bank independence detectably restrains inflation among countries.	Alesina-Summers central-bank-independence researchers	causal-identification skeptics and post-Keynesian economists	https://ideas.repec.org/a/mcb/jmoncb/v25y1993i2p151-62.html|https://www.jstor.org/stable/25167698	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Government budgets record planned public revenue and public spending.	https://www.imf.org/external/pubs/ft/fandd/basics/fiscpol.htm	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
26	economics	econ_policy	Government deficits crowd out private investment over the long run.	neoclassical loanable-funds view	Keynesians; MMT; Blanchard (r < g)	https://www.govinfo.gov/content/pkg/GOVPUB-Y10-PURL-gpo5479/pdf/GOVPUB-Y10-PURL-gpo5479.pdf	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	National accounts record household consumption and business investment.	https://www.bea.gov/resources/learning-center/what-to-know-gdp	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
27	economics	econ_policy	Restrictive zoning dominates explanations of high urban housing prices.	Glaeser-Gyourko zoning-supply economists	construction-cost and local-amenity housing scholars	https://www.nber.org/papers/w8835	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Depreciation diminishes the recorded book value of capital equipment.	https://openstax.org/books/principles-financial-accounting/pages/11-3-explain-and-apply-depreciation-methods-to-allocate-capitalized-costs	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
28	economics	econ_policy	Bitcoin functions as an effective hedge against consumer-price inflation.	Bitcoin inflation-hedge proponents	Baur-Dimpfl empirical hedge skeptics	https://pmc.ncbi.nlm.nih.gov/articles/PMC8995501/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Insurance markets pool risk among numerous policyholders, limiting variance.	https://content.naic.org/glossary-insurance-terms	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
29	economics	econ_policy	Poor households' incomes rise proportionately with average income during national growth.	Dollar-Kraay growth-incidence researchers	Ravallion-line heterogeneous growth-incidence researchers	https://doi.org/10.1023/A:1020139631000|https://doi.org/10.1016/S0305-750X(01)00072-9	Dollar and Kraay estimate proportionate average income growth for the poor; Ravallion documents substantial cross-country heterogeneity around averages.	Asset diversification limits the variance of investment portfolio returns.	https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
30	economics	econ_policy	Pandemic quantitative easing materially amplified United States consumer-price inflation.	monetarist pandemic-inflation analysts	fiscal-dominance and supply-shock attribution researchers	https://www.nber.org/papers/w33044|https://www.nber.org/papers/w31304	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Commercial lenders charge interest on outstanding loan balances over time.	https://www.consumerfinance.gov/ask-cfpb/whats-the-difference-between-a-simple-interest-rate-and-precomputed-interest-on-an-auto-loan-en-841/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
31	economics	econ_policy	Automation chiefly explains manufacturing job losses over international trade exposure.	Acemoglu & Restrepo (automation thesis)	Autor, Dorn & Hanson (trade / China shock)	https://www.nber.org/papers/w18938|https://www.nber.org/papers/w23285	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Bankruptcy law lets insolvent firms restructure or discharge their debts.	https://www.uscourts.gov/court-programs/bankruptcy	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
32	economics	econ_policy	Corporate tax-rate hikes materially depress long-run business investment.	supply-side / neoclassical investment models	post-TCJA empirical skeptics (little-investment finding)	https://doi.org/10.1257/mac.2.3.31	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Taxable corporate profit levels determine income-tax liabilities at fixed rates.	https://www.irs.gov/businesses/small-businesses-self-employed/business-taxes	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
33	economics	econ_policy	Consumer-price effects of licensing outweigh its quality gains.	Kleiner-line labor economists	licensing defenders (quality-signaling scholars)	https://www.nber.org/papers/w26601	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Longer loan terms accumulate extra total interest at equal rates.	https://www.consumerfinance.gov/ask-cfpb/how-do-i-compare-auto-loan-offers-what-should-i-look-at-besides-the-monthly-payment-en-753/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
34	economics	econ_policy	High public debt causally slows long-run GDP growth.	debt-drag macroeconomists	Herndon-Ash-Pollin and reverse-causality critics	https://doi.org/10.1093/cje/bet075	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Scarcity forces every economy to allocate limited resources among competing uses.	https://www.aeaweb.org/resources/students/what-is-economics	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
35	energy	physical_climate	Low-dose ionizing radiation risk rises linearly to zero dose.	BEIR-line linear-no-threshold risk assessors	threshold and hormesis radiobiologists	https://www.nationalacademies.org/read/25578/chapter/3|https://pmc.ncbi.nlm.nih.gov/articles/PMC2663584/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Solar panels produce electricity using the photovoltaic effect.	https://www.energy.gov/eere/solar/solar-photovoltaic-technology-basics	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
36	nutrition	medicine_health	Dietary saturated fat constitutes a principal cause of cardiovascular disease.	traditional diet-heart hypothesis (Keys-line; AHA)	low-carb re-analysis camp (Taubes; Siri-Tarino meta)	https://pubmed.ncbi.nlm.nih.gov/32827219/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Vitamin C deficiency causes the disease known as scurvy.	https://www.ncbi.nlm.nih.gov/books/NBK493187/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
37	neuroscience	life_sciences	Conscious perception depends on posterior cortical activity rather than prefrontal broadcasting.	posterior-hot-zone and IIT researchers	prefrontal-broadcast and global-workspace researchers	https://www.nature.com/articles/s41586-025-08888-1	The preregistered adversarial collaboration directly contrasts posterior hot-zone and prefrontal-broadcast predictions of IIT and global workspace theory.	Myelinated axons outperform bare axons in impulse conduction.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3849146/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
38	physics	physical_climate	String theory qualifies as science rather than untestable mathematics.	mainstream string theorists	Woit; Smolin; Hossenfelder-line	https://direct.mit.edu/posc/article/23/2/192/15504/Contested-Boundaries-The-String-Theory-Debates-and	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Light speed in a vacuum exceeds its speed in glass or water.	https://openstax.org/books/physics/pages/16-1-reflection	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
39	cosmology	physical_climate	Cosmic inflation best explains the universe's large-scale uniformity.	Guth-Linde inflationary cosmologists	Ijjas-Steinhardt-Loeb alternative-cosmology critics	https://link.springer.com/article/10.1007/s13194-023-00556-3	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Stars generate energy by fusing hydrogen nuclei to form helium.	https://science.nasa.gov/universe/stars/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
40	biology	life_sciences	A fixed biological upper limit bounds the human lifespan.	Dong, Milholland & Vijg (Nature 2016, fixed limit)	de Beer et al.; Barbi et al. (late-life mortality plateau)	https://www.nature.com/articles/nature19793	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Photosynthesis stores light energy as chemical energy in plants.	https://openstax.org/books/biology-2e/pages/8-1-overview-of-photosynthesis	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
41	psychology	mind_language_society	Low replication rates in psychology mainly reflect false original findings.	false-positive interpretation of replication failures	Gilbert-line methodological critics of replication estimates	https://www.science.org/doi/10.1126/science.aac4716	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Classical conditioning pairs a neutral stimulus with a meaningful one.	https://openstax.org/books/psychology-2e/pages/6-2-classical-conditioning	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
42	physics	physical_climate	Undiscovered particles explain dark matter rather than modified gravity.	CDM / particle dark-matter mainstream	MOND (Milgrom; McGaugh)	https://arxiv.org/abs/1112.3960	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Sound speed in solids exceeds its speed in gases.	https://openstax.org/books/physics/pages/14-1-speed-of-sound-frequency-and-wavelength	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
