line	domain	affirmed_by	denied_by
103	psychology	Bialystok-line bilingual-advantage researchers	null-result researchers (Mukadam; cohort studies)
104	psychology	birth-order-effect proponents	large-sample nulls (Rohrer et al. 2015; Damian & Roberts)
105	psychology	Duckworth-line grit researchers	Credé et al. 2017 meta (grit ≈ conscientiousness)
106	psychology	Carney, Cuddy & Yap 2010	Ranehill et al.; Simmons & Simonsohn (failed replication)
107	history	Fischer thesis (Fritz Fischer)	shared-responsibility historians (Clark, "Sleepwalkers")
108	history	internalist decline (Gibbon-line)	transformation historians (P. Brown vs Ward-Perkins debate)
109	history	dependency theory; Acemoglu extractive-institutions	colonial-legacy revisionists (some economic historians)
110	history	necessity-thesis (traditionalist) historians	revisionists (Alperovitz; Hasegawa, "Racing the Enemy")
111	history	contingency historians	deep-cause historians (Mokyr; Allen high-wage; Pomeranz)
112	history	"great man" / contingency historians	structuralists / Annales school (Braudel)
113	history	economic-collapse explanation of the USSR	agency / ideational explanations (Gorbachev-agency; Reagan-pressure)
114	history	Williams thesis (Eric Williams); world-systems (Wallerstein)	internalist economic historians (O'Brien, "periphery marginal")
115	history	post-plague real-wage historians (Pamuk; Herlihy)	alternative-cause historians
116	archaeology	multiple-independent-origins mainstream	diffusionist holdouts
117	archaeology	climate-driven collapse (Kaniewski)	multi-causal systems-collapse (Cline, "1177 BC")
118	history	high-counters (Dobyns; Mann, "1491")	low-counters (Ubelaker-line)
119	archaeology	"worst mistake" bioarchaeology (Diamond-line)	neutral / positive interpreters of the Neolithic
120	education	handwriting-benefit researchers (James; Longcamp)	keyboard-equivalence proponents
